director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
James Wan,Jason Momoa,Amber Heard,Willem Dafoe,Action,aquaman,Jason Momoa Amber Heard Willem Dafoe James Wan Action
Travis Knight,Hailee Steinfeld,John Cena,Jorge Lendeborg Jr.,Action,bumblebee,Hailee Steinfeld John Cena Jorge Lendeborg Jr. Travis Knight Action
Joe Cornish,Louis Ashbourne Serkis,Dean Chaumoo,Tom Taylor,Action,the kid who would be king,Louis Ashbourne Serkis Dean Chaumoo Tom Taylor Joe Cornish Action
Catherine Hardwicke ,Gina Rodriguez,Ismael Cruz CÃ³rdova,Anthony Mackie,Action,miss bala,Gina Rodriguez Ismael Cruz CÃ³rdova Anthony Mackie Catherine Hardwicke  Action
Mike Mitchell ,Chris Pratt,Elizabeth Banks,Tiffany Haddish,Action,the lego movie 2: the second part,Chris Pratt Elizabeth Banks Tiffany Haddish Mike Mitchell  Action
Hans Petter Moland ,Liam Neeson,Tom Bateman,Tom Jackson,Action,cold pursuit,Liam Neeson Tom Bateman Tom Jackson Hans Petter Moland  Action
Robert Rodriguez ,Rosa Salazar,Christoph Waltz,Jennifer Connelly,Action,alita: battle angel,Rosa Salazar Christoph Waltz Jennifer Connelly Robert Rodriguez  Action
J. C. Chandor,Ben Affleck,Oscar Isaac,Charlie Hunnam,Action,triple frontier,Ben Affleck Oscar Isaac Charlie Hunnam J. C. Chandor Action
"Anna Boden, Ryan Fleck",Brie Larson,Samuel L. Jackson,Ben Mendelsohn,Action,captain marvel,"Brie Larson Samuel L. Jackson Ben Mendelsohn Anna Boden, Ryan Fleck Action"
David F. Sandberg ,Zachary Levi,Asher Angel,Mark Strong,Action,shazam!,Zachary Levi Asher Angel Mark Strong David F. Sandberg  Action
Rob Letterman,Ryan Reynolds,Justice Smith,Kathryn Newton,Action,pokÃ©mon detective pikachu,Ryan Reynolds Justice Smith Kathryn Newton Rob Letterman Action
Chad Stahelski ,Keanu Reeves,Halle Berry,Laurence Fishburne,Action,john wick: chapter 3 Ã¢ÂÂ parabellum,Keanu Reeves Halle Berry Laurence Fishburne Chad Stahelski  Action
Tim Story ,Samuel L. Jackson,Jessie Usher,Richard Roundtree,Action,shaft,Samuel L. Jackson Jessie Usher Richard Roundtree Tim Story  Action
Kyle Newacheck ,Adam Sandler,Jennifer Aniston,Luke Evans,Action,murder mystery,Adam Sandler Jennifer Aniston Luke Evans Kyle Newacheck  Action
Luc Besson ,Sasha Luss,Helen Mirren,Luke Evans,Action,anna,Sasha Luss Helen Mirren Luke Evans Luc Besson  Action
Martin Owen,Tommy Flanagan,Rhyon Nicole Brown,Jessica Alba,Action,killers anonymous,Tommy Flanagan Rhyon Nicole Brown Jessica Alba Martin Owen Action
Jon Watts ,Tom Holland,Samuel L. Jackson,Zendaya,Action,spider-man: far from home,Tom Holland Samuel L. Jackson Zendaya Jon Watts  Action
John Herzfeld ,Sylvester Stallone,Curtis Jackson,Dave Bautista,Action,escape plan: the extractors,Sylvester Stallone Curtis Jackson Dave Bautista John Herzfeld  Action
Michael Dowse ,Kumail Nanjiani,Dave Bautista,Iko Uwais,Action,stuber,Kumail Nanjiani Dave Bautista Iko Uwais Michael Dowse  Action
Joe Lynch ,Frank Grillo,Anthony Mackie,Marcia Gay Harden,Action,point blank,Frank Grillo Anthony Mackie Marcia Gay Harden Joe Lynch  Action
David Leitch ,Dwayne Johnson,Jason Statham,Idris Elba,Action,fast & furious presents: hobbs & shaw,Dwayne Johnson Jason Statham Idris Elba David Leitch  Action
Shawn Ku ,Nicolas Cage,Benjamin Bratt,unknown,Action,a score to settle,Nicolas Cage Benjamin Bratt unknown Shawn Ku  Action
Andrea Berloff,Melissa McCarthy,Tiffany Haddish,Elisabeth Moss,Action,the kitchen,Melissa McCarthy Tiffany Haddish Elisabeth Moss Andrea Berloff Action
Ric Roman Waugh ,Gerard Butler,Morgan Freeman,Jada Pinkett Smith,Action,angel has fallen,Gerard Butler Morgan Freeman Jada Pinkett Smith Ric Roman Waugh  Action
Adrian Grunberg ,Sylvester Stallone,Adriana Barraza,Paz Vega,Action,rambo: last blood,Sylvester Stallone Adriana Barraza Paz Vega Adrian Grunberg  Action
Deon Taylor ,Naomie Harris,Tyrese Gibson,Frank Grillo,Action,black and blue,Naomie Harris Tyrese Gibson Frank Grillo Deon Taylor  Action
Roland Emmerich ,Ed Skrein,Patrick Wilson,Luke Evans,Action,midway,Ed Skrein Patrick Wilson Luke Evans Roland Emmerich  Action
Elizabeth Banks,Kristen Stewart,Naomi Scott,Ella Balinska,Action,charlie's angels,Kristen Stewart Naomi Scott Ella Balinska Elizabeth Banks Action
Matt Eskandari ,Bruce Willis,Nicky Whelan,Tito Ortiz,Action,trauma center,Bruce Willis Nicky Whelan Tito Ortiz Matt Eskandari  Action
Michael Bay ,Ryan Reynolds,MÃ©lanie Laurent,Manuel Garcia-Rulfo,Action,6 underground,Ryan Reynolds MÃ©lanie Laurent Manuel Garcia-Rulfo Michael Bay  Action
William Eubank,Kristen Stewart,Vincent Cassel,Jessica Henwick,Horror Science Fiction Action Adventure,underwater,Kristen Stewart Vincent Cassel Jessica Henwick William Eubank Horror Science Fiction Action Adventure
Ali Zamani,Nicola Posener,Houston Rhines,Michael Teh,Action Romance Crime,angels fallen,Nicola Posener Houston Rhines Michael Teh Ali Zamani Action Romance Crime
Adil El Arbi and Bilall Fallah,Will Smith,Martin Lawrence,Vanessa Hudgens,Thriller Action Crime,bad boys for life,Will Smith Martin Lawrence Vanessa Hudgens Adil El Arbi and Bilall Fallah Thriller Action Crime
Guy Ritchie,Matthew McConaughey,Charlie Hunnam,Henry Golding,Action Crime Comedy,the gentlemen,Matthew McConaughey Charlie Hunnam Henry Golding Guy Ritchie Action Crime Comedy
Todd Robinson,Sebastian Stan,Christopher Plummer,William Hurt,Drama Action War,the last full measure,Sebastian Stan Christopher Plummer William Hurt Todd Robinson Drama Action War
Reed Morano,Blake Lively,Jude Law,Sterling K. Brown,Action Thriller,the rhythm section,Blake Lively Jude Law Sterling K. Brown Reed Morano Action Thriller
Cathy Yan,Margot Robbie,Mary Elizabeth Winstead,Jurnee Smollett-Bell,Action Crime,birds of prey,Margot Robbie Mary Elizabeth Winstead Jurnee Smollett-Bell Cathy Yan Action Crime
Jeff Fowler,James Marsden,Ben Schwartz,Tika Sumpter,Action Science Fiction Comedy Family,sonic the hedgehog,James Marsden Ben Schwartz Tika Sumpter Jeff Fowler Action Science Fiction Comedy Family
Drew Mylrea,Drew Van Acker,Poppy Delevingne,Natasha Bassett,Action Adventure Comedy,spy intervention,Drew Van Acker Poppy Delevingne Natasha Bassett Drew Mylrea Action Adventure Comedy
Jason Lei Howden,Daniel Radcliffe,Samara Weaving,Natasha Liu Bordizzo,Action Comedy,guns akimbo,Daniel Radcliffe Samara Weaving Natasha Liu Bordizzo Jason Lei Howden Action Comedy
Peter Berg,Mark Wahlberg,Winston Duke,Alan Arkin,Comedy Action Thriller,spenser confidential,Mark Wahlberg Winston Duke Alan Arkin Peter Berg Comedy Action Thriller
Dave S. F. Wilson,Vin Diesel,Eiza GonzÃ¡lez,Sam Heughan,Action Science Fiction Adventure,bloodshot,Vin Diesel Eiza GonzÃ¡lez Sam Heughan Dave S. F. Wilson Action Science Fiction Adventure
Craig Zobel,Betty Gilpin,Ike Barinholtz,Amy Madigan,Action Thriller Horror,the hunt,Betty Gilpin Ike Barinholtz Amy Madigan Craig Zobel Action Thriller Horror
Michael Dowse,Ed Helms,Taraji P. Henson,Betty Gilpin,Comedy Action Crime,coffee & kareem,Ed Helms Taraji P. Henson Betty Gilpin Michael Dowse Comedy Action Crime
Sam Hargrave,Chris Hemsworth,Rudhraksh Jaiswal,Randeep Hooda,Action Thriller,extraction,Chris Hemsworth Rudhraksh Jaiswal Randeep Hooda Sam Hargrave Action Thriller
John Barr,Tom Berenger,Kristen Hager,Mark Sivertsen,Thriller Crime Drama Action,blood and money,Tom Berenger Kristen Hager Mark Sivertsen John Barr Thriller Crime Drama Action
Michael Showalter,Issa Rae,Kumail Nanjiani,Paul Sparks,Comedy Action Romance,the lovebirds,Issa Rae Kumail Nanjiani Paul Sparks Michael Showalter Comedy Action Romance
Olivier Megaton,Ãdgar RamÃ­rez,Anna Brewster,Michael Pitt,Action Crime Thriller,the last days of american crime,Ãdgar RamÃ­rez Anna Brewster Michael Pitt Olivier Megaton Action Crime Thriller
Kenneth Branagh,Ferdia Shaw,Lara McDonnell,Josh Gad,Adventure Fantasy Science Fiction Family Action,artemis fowl,Ferdia Shaw Lara McDonnell Josh Gad Kenneth Branagh Adventure Fantasy Science Fiction Family Action
Kaare Andrews,Chad Michael Collins,Tom Berenger,Sayaka Akimoto,Action,sniper: assassin's end,Chad Michael Collins Tom Berenger Sayaka Akimoto Kaare Andrews Action
Peter Segal,Dave Bautista,Chloe Coleman,Kristen Schaal,Family Action Comedy,my spy,Dave Bautista Chloe Coleman Kristen Schaal Peter Segal Family Action Comedy
Gina Prince-Bythewood,Charlize Theron,KiKi Layne,Marwan Kenzari,Action Fantasy,the old guard,Charlize Theron KiKi Layne Marwan Kenzari Gina Prince-Bythewood Action Fantasy
Andrew Lawrence,Adam Copeland,Kelsey Grammer,Thomas Jane,Action Crime Thriller,money plane,Adam Copeland Kelsey Grammer Thomas Jane Andrew Lawrence Action Crime Thriller
Aaron Schneider,Tom Hanks,Stephen Graham,Rob Morgan,War Action Drama,greyhound,Tom Hanks Stephen Graham Rob Morgan Aaron Schneider War Action Drama
Robin Pront,Annabelle Wallis,Hero Fiennes-Tiffin,Nikolaj Coster-Waldau,Thriller Action Crime,the silencing,Annabelle Wallis Hero Fiennes-Tiffin Nikolaj Coster-Waldau Robin Pront Thriller Action Crime
David Ayer,Bobby Soto,Shia LaBeouf,Cinthya Carmona,Action Crime Drama,the tax collector,Bobby Soto Shia LaBeouf Cinthya Carmona David Ayer Action Crime Drama
"Henry Joost, Ariel Schulman",Jamie Foxx,Joseph Gordon-Levitt,Dominique Fishback,Action Crime Science Fiction,project power,"Jamie Foxx Joseph Gordon-Levitt Dominique Fishback Henry Joost, Ariel Schulman Action Crime Science Fiction"
Derrick Borte,Russell Crowe,Caren Pistorius,Gabriel Bateman,Action Thriller,unhinged,Russell Crowe Caren Pistorius Gabriel Bateman Derrick Borte Action Thriller
RZA,Shameik Moore,T.I.,Demetrius Shipp Jr.,Action Crime Drama Thriller,cut throat city,Shameik Moore T.I. Demetrius Shipp Jr. RZA Action Crime Drama Thriller
Josh Boone,Maisie Williams,Anya Taylor-Joy,Charlie Heaton,Science Fiction Horror Action Adventure,the new mutants,Maisie Williams Anya Taylor-Joy Charlie Heaton Josh Boone Science Fiction Horror Action Adventure
Christopher Nolan,John David Washington,Robert Pattinson,Elizabeth Debicki,Action Thriller Science Fiction,tenet,John David Washington Robert Pattinson Elizabeth Debicki Christopher Nolan Action Thriller Science Fiction
Anna Mastro,Peyton Elizabeth Lee,Skylar Astin,Elodie Yung,Action Adventure Comedy Fantasy,secret society of second-born royals,Peyton Elizabeth Lee Skylar Astin Elodie Yung Anna Mastro Action Adventure Comedy Fantasy
Michael Matthews,Dylan O'Brien,Jessica Henwick,Dan Ewing,Comedy Action Adventure Science Fiction,love and monsters,Dylan O'Brien Jessica Henwick Dan Ewing Michael Matthews Comedy Action Adventure Science Fiction
Mark Williams,Liam Neeson,Kate Walsh,Robert Patrick,Thriller Action Crime,honest thief,Liam Neeson Kate Walsh Robert Patrick Mark Williams Thriller Action Crime
"Eshom Nelms, Ian Nelms",Mel Gibson,Walton Goggins,Marianne Jean-Baptiste,Action Comedy Fantasy,fatman,"Mel Gibson Walton Goggins Marianne Jean-Baptiste Eshom Nelms, Ian Nelms Action Comedy Fantasy"
Paul Leyden,Malin Akerman,Bella Thorne,Fortune Feimster,Action Comedy Drama,chick fight,Malin Akerman Bella Thorne Fortune Feimster Paul Leyden Action Comedy Drama
Dimitri Logothetis,Alain Moussi,Frank Grillo,JuJu Chan,Action Science Fiction Fantasy,jiu jitsu,Alain Moussi Frank Grillo JuJu Chan Dimitri Logothetis Action Science Fiction Fantasy
Adam Egypt Mortimer,Joe Manganiello,Skylan Brooks,Zolee Griggs,Action Thriller Crime Science Fiction,archenemy,Joe Manganiello Skylan Brooks Zolee Griggs Adam Egypt Mortimer Action Thriller Crime Science Fiction
Paul W. S. Anderson,Milla Jovovich,Tony Jaa,"Tip ""T.I."" Harris",Action Fantasy Adventure,monster hunter,"Milla Jovovich Tony Jaa Tip ""T.I."" Harris Paul W. S. Anderson Action Fantasy Adventure"
Ric Roman Waugh,Gerard Butler,Morena Baccarin,David Denman,Action Thriller Drama,greenland,Gerard Butler Morena Baccarin David Denman Ric Roman Waugh Action Thriller Drama
Liam O'Donnell,Lindsey Morgan,Jonathan Howard,Daniel Bernhardt,Science Fiction Action,skylines,Lindsey Morgan Jonathan Howard Daniel Bernhardt Liam O'Donnell Science Fiction Action
Shawn Linden,Devon Sawa,Camille Sullivan,Nick Stahl,Action,hunter hunter,Devon Sawa Camille Sullivan Nick Stahl Shawn Linden Action
John Suits,Cody Kearsley,Bruce Willis,Thomas Jane,Science Fiction Action Horror,breach,Cody Kearsley Bruce Willis Thomas Jane John Suits Science Fiction Action Horror
Patty Jenkins,Gal Gadot,Chris Pine,Kristen Wiig,Action Adventure Fantasy,wonder woman 1984,Gal Gadot Chris Pine Kristen Wiig Patty Jenkins Action Adventure Fantasy
Robert Rodriguez,Priyanka Chopra Jonas,Pedro Pascal,YaYa Gosselin,Family Action Fantasy Comedy,we can be heroes,Priyanka Chopra Jonas Pedro Pascal YaYa Gosselin Robert Rodriguez Family Action Fantasy Comedy
Roseanne Liang,ChloÃ« Grace Moretz,Taylor John Smith,Beulah Koale,Horror Action War,shadow in the cloud,ChloÃ« Grace Moretz Taylor John Smith Beulah Koale Roseanne Liang Horror Action War
Mikael HÃ¥fstrÃ¶m,Anthony Mackie,Damson Idris,Emily Beecham,Thriller Action Science Fiction,outside the wire,Anthony Mackie Damson Idris Emily Beecham Mikael HÃ¥fstrÃ¶m Thriller Action Science Fiction
Robert Lorenz,Liam Neeson,Katheryn Winnick,Juan Pablo Raba,Action Drama Thriller,the marksman,Liam Neeson Katheryn Winnick Juan Pablo Raba Robert Lorenz Action Drama Thriller
Conor Allyn,Jake Allyn,Frank Grillo,Jorge A. Jimenez,Action Drama Crime,no man's land,Jake Allyn Frank Grillo Jorge A. Jimenez Conor Allyn Action Drama Crime
Alex Ranarivelo,Sean Patrick Flanery,Dennis Quaid,Katrina Bowden,Action Drama,born a champion,Sean Patrick Flanery Dennis Quaid Katrina Bowden Alex Ranarivelo Action Drama
Jude Weng,Kea Peahu,Alex Aiono,Lindsay Watson,Adventure Action Comedy Family,finding ÃÂ»ohana,Kea Peahu Alex Aiono Lindsay Watson Jude Weng Adventure Action Comedy Family
Kevin Lewis,Nicolas Cage,Emily Tosta,Ric Reitz,Action Horror Comedy,willy's wonderland,Nicolas Cage Emily Tosta Ric Reitz Kevin Lewis Action Horror Comedy
"Don Hall, Carlos LÃ³pez Estrada",Kelly Marie Tran,Awkwafina,Izaac Wang,Animation Family Fantasy Action Adventure,raya and the last dragon,"Kelly Marie Tran Awkwafina Izaac Wang Don Hall, Carlos LÃ³pez Estrada Animation Family Fantasy Action Adventure"
Joe Carnahan,Frank Grillo,Mel Gibson,Naomi Watts,Action Science Fiction Thriller,boss level,Frank Grillo Mel Gibson Naomi Watts Joe Carnahan Action Science Fiction Thriller
Edward Drake,Bruce Willis,Frank Grillo,Brandon Thomas Lee,Science Fiction Action Adventure,cosmic sin,Bruce Willis Frank Grillo Brandon Thomas Lee Edward Drake Science Fiction Action Adventure
Zack Snyder,Ben Affleck,Henry Cavill,Amy Adams,Action Adventure Fantasy,zack snyder's justice league,Ben Affleck Henry Cavill Amy Adams Zack Snyder Action Adventure Fantasy
Ilya Naishuller,Bob Odenkirk,Connie Nielsen,Aleksei Serebryakov,Action Thriller,nobody,Bob Odenkirk Connie Nielsen Aleksei Serebryakov Ilya Naishuller Action Thriller
Adam Wingard,Alexander SkarsgÃ¥rd,Millie Bobby Brown,Rebecca Hall,Action Science Fiction Adventure,godzilla vs. kong,Alexander SkarsgÃ¥rd Millie Bobby Brown Rebecca Hall Adam Wingard Action Science Fiction Adventure
Ben Falcone,Melissa McCarthy,Octavia Spencer,Bobby Cannavale,Action Adventure Comedy Science Fiction,thunder force,Melissa McCarthy Octavia Spencer Bobby Cannavale Ben Falcone Action Adventure Comedy Science Fiction
Simon McQuoid,Lewis Tan,Jessica McNamee,Josh Lawson,Action Fantasy Adventure,mortal kombat,Lewis Tan Jessica McNamee Josh Lawson Simon McQuoid Action Fantasy Adventure
Stefano Sollima,Michael B. Jordan,Jamie Bell,Jodie Turner-Smith,Adventure Action Thriller War,without remorse,Michael B. Jordan Jamie Bell Jodie Turner-Smith Stefano Sollima Adventure Action Thriller War
Nick Stagliano,Anson Mount,Abbie Cornish,Eddie Marsan,Thriller Crime Action,the virtuoso,Anson Mount Abbie Cornish Eddie Marsan Nick Stagliano Thriller Crime Action
Guy Ritchie,Jason Statham,Holt McCallany,Jeffrey Donovan,Crime Action Adventure Thriller,wrath of man,Jason Statham Holt McCallany Jeffrey Donovan Guy Ritchie Crime Action Adventure Thriller
Tran Quoc Bao,Alain Uy,Ron Yuan,Mykel Shannon Jenkins,Action Comedy,the paper tigers,Alain Uy Ron Yuan Mykel Shannon Jenkins Tran Quoc Bao Action Comedy
Phillip Noyce,Jack Huston,Emilia Clarke,Thora Birch,Thriller Crime Action,above suspicion,Jack Huston Emilia Clarke Thora Birch Phillip Noyce Thriller Crime Action
Zack Snyder,Dave Bautista,Ella Purnell,Omari Hardwick,Action Crime Horror,army of the dead,Dave Bautista Ella Purnell Omari Hardwick Zack Snyder Action Crime Horror
Taylor Sheridan,Angelina Jolie,Nicholas Hoult,Finn Little,Thriller Action,those who wish me dead,Angelina Jolie Nicholas Hoult Finn Little Taylor Sheridan Thriller Action
"Mark S. Allen, Dante Yore",John Littlefield,Eric Roberts,Alyson Gorske,Horror Action,616 wilford lane,"John Littlefield Eric Roberts Alyson Gorske Mark S. Allen, Dante Yore Horror Action"
Glenn Miller,Vivica A. Fox,Eva Ceja,D. C. Douglas,Horror Action Comedy,aquarium of the dead,Vivica A. Fox Eva Ceja D. C. Douglas Glenn Miller Horror Action Comedy
Antoine Fuqua,Mark Wahlberg,Chiwetel Ejiofor,Sophie Cookson,Science Fiction Action Adventure Thriller,infinite,Mark Wahlberg Chiwetel Ejiofor Sophie Cookson Antoine Fuqua Science Fiction Action Adventure Thriller
Ty Roberts,Luke Wilson,Vinessa Shaw,Wayne Knight,History Drama Action,12 mighty orphans,Luke Wilson Vinessa Shaw Wayne Knight Ty Roberts History Drama Action
Patrick Hughes,Ryan Reynolds,Samuel L. Jackson,Salma Hayek,Action Comedy Crime Thriller,hitman's wife's bodyguard,Ryan Reynolds Samuel L. Jackson Salma Hayek Patrick Hughes Action Comedy Crime Thriller
Justin Lin,Vin Diesel,John Cena,Michelle Rodriguez,Action Adventure Crime,f9,Vin Diesel John Cena Michelle Rodriguez Justin Lin Action Adventure Crime
Jonathan Hensleigh,Liam Neeson,Benjamin Walker,Amber Midthunder,Action Thriller,the ice road,Liam Neeson Benjamin Walker Amber Midthunder Jonathan Hensleigh Action Thriller
Matt Thompson,Channing Tatum,Jason Mantzoukas,Olivia Munn,Animation Action Comedy,america: the motion picture,Channing Tatum Jason Mantzoukas Olivia Munn Matt Thompson Animation Action Comedy
Chris McKay,Chris Pratt,Yvonne Strahovski,J. K. Simmons,Action Science Fiction Adventure,the tomorrow war,Chris Pratt Yvonne Strahovski J. K. Simmons Chris McKay Action Science Fiction Adventure
Everardo Gout,Ana de la Reguera,Tenoch Huerta,Josh Lucas,Horror Action Thriller,the forever purge,Ana de la Reguera Tenoch Huerta Josh Lucas Everardo Gout Horror Action Thriller
Cate Shortland,Scarlett Johansson,Florence Pugh,David Harbour,Action Adventure Science Fiction,black widow,Scarlett Johansson Florence Pugh David Harbour Cate Shortland Action Adventure Science Fiction
Navot Papushado,Karen Gillan,Lena Headey,Carla Gugino,Action Crime Thriller,gunpowder milkshake,Karen Gillan Lena Headey Carla Gugino Navot Papushado Action Crime Thriller
Colin Schiffli,Alexandra Daddario,Diego Boneta,Justin Chatwin,Action Comedy Romance,die in a gunfight,Alexandra Daddario Diego Boneta Justin Chatwin Colin Schiffli Action Comedy Romance
Mike Burns,Bruce Willis,Jaime King,Lala Kent,Action Thriller Crime,out of death,Bruce Willis Jaime King Lala Kent Mike Burns Action Thriller Crime
"Daryl Wein, Zoe Lister-Jones",Zoe Lister-Jones,Cailee Spaeny,Olivia Wilde,Science Fiction Thriller Mystery Action Adventure,how it ends,"Zoe Lister-Jones Cailee Spaeny Olivia Wilde Daryl Wein, Zoe Lister-Jones Science Fiction Thriller Mystery Action Adventure"
"Johane Matte, Andrew L. Schmidt, Francisco Ruiz Velasco",Emile Hirsch,Lexi Medrano,Charlie Saxton,Animation Fantasy Family Action Adventure,trollhunters: rise of the titans,"Emile Hirsch Lexi Medrano Charlie Saxton Johane Matte, Andrew L. Schmidt, Francisco Ruiz Velasco Animation Fantasy Family Action Adventure"
Tanya Wexler,Kate Beckinsale,Bobby Cannavale,Laverne Cox,Action Thriller,jolt,Kate Beckinsale Bobby Cannavale Laverne Cox Tanya Wexler Action Thriller
Randall Emmett,Megan Fox,Bruce Willis,Emile Hirsch,Crime Mystery Thriller Action,midnight in the switchgrass,Megan Fox Bruce Willis Emile Hirsch Randall Emmett Crime Mystery Thriller Action
Jaume Collet-Serra,Dwayne Johnson,Emily Blunt,Edgar RamÃ­rez,Action Adventure Fantasy,jungle cruise,Dwayne Johnson Emily Blunt Edgar RamÃ­rez Jaume Collet-Serra Action Adventure Fantasy
James Gunn,Idris Elba,Margot Robbie,John Cena,Action Comedy Adventure,the suicide squad,Idris Elba Margot Robbie John Cena James Gunn Action Comedy Adventure
Scott Brignac,Hannah Kasulka,Luke Benward,Jude Demorest,Drama Action Thriller Crime,playing god,Hannah Kasulka Luke Benward Jude Demorest Scott Brignac Drama Action Thriller Crime
Martin Campbell,Michael Keaton,Maggie Q,Samuel L. Jackson,Action Thriller,the protÃÂ©gÃÂ©,Michael Keaton Maggie Q Samuel L. Jackson Martin Campbell Action Thriller
Brian Andrew Mendoza,Jason Momoa,Isabela Merced,Manuel Garcia-Rulfo,Action Thriller Drama,sweet girl,Jason Momoa Isabela Merced Manuel Garcia-Rulfo Brian Andrew Mendoza Action Thriller Drama
Kwang Il Han,Theo James,Lara Pulver,Graham McTavish,Animation Action Fantasy,the witcher: nightmare of the wolf,Theo James Lara Pulver Graham McTavish Kwang Il Han Animation Action Fantasy
Destin Daniel Cretton,Simu Liu,Awkwafina,Meng'er Zhang,Action Adventure Fantasy,shang-chi and the legend of the ten rings,Simu Liu Awkwafina Meng'er Zhang Destin Daniel Cretton Action Adventure Fantasy
Cedric Nicolas-Troyan,Mary Elizabeth Winstead,Miku Martineau,Woody Harrelson,Action,kate,Mary Elizabeth Winstead Miku Martineau Woody Harrelson Cedric Nicolas-Troyan Action
Michael Feifer,Jay Pickett,Peter Facinelli,Tom Skerritt,Western Action,catch the bullet,Jay Pickett Peter Facinelli Tom Skerritt Michael Feifer Western Action
Joe Carnahan,Gerard Butler,Frank Grillo,Alexis Louder,Thriller Crime Action,copshop,Gerard Butler Frank Grillo Alexis Louder Joe Carnahan Thriller Crime Action
Sion Sono,Nicolas Cage,Sofia Boutella,Bill Moseley,Action Fantasy Horror,prisoners of the ghostland,Nicolas Cage Sofia Boutella Bill Moseley Sion Sono Action Fantasy Horror
Andy Serkis,Tom Hardy,Michelle Williams,Naomie Harris,Science Fiction Action Adventure,venom: let there be carnage,Tom Hardy Michelle Williams Naomie Harris Andy Serkis Science Fiction Action Adventure
Potsy Ponciroli,Tim Blake Nelson,Scott Haze,Gavin Lewis,Action Western Thriller Crime Mystery,old henry,Tim Blake Nelson Scott Haze Gavin Lewis Potsy Ponciroli Action Western Thriller Crime Mystery
Cary Joji Fukunaga,Daniel Craig,Rami Malek,LÃ©a Seydoux,Action Adventure Thriller,no time to die,Daniel Craig Rami Malek LÃ©a Seydoux Cary Joji Fukunaga Action Adventure Thriller
Ridley Scott,Matt Damon,Adam Driver,Jodie Comer,History Drama Action,the last duel,Matt Damon Adam Driver Jodie Comer Ridley Scott History Drama Action
Adam Randall,Jorge Lendeborg Jr.,Debby Ryan,Lucy Fry,Horror Thriller Action,night teeth,Jorge Lendeborg Jr. Debby Ryan Lucy Fry Adam Randall Horror Thriller Action
Matthias SchweighÃ¶fer,Matthias SchweighÃ¶fer,Nathalie Emmanuel,Ruby O. Fee,Action Thriller Crime Comedy,army of thieves,Matthias SchweighÃ¶fer Nathalie Emmanuel Ruby O. Fee Matthias SchweighÃ¶fer Action Thriller Crime Comedy
"Philip Gelatt, Morgan Galen King",Richard E. Grant,Lucy Lawless,Patton Oswalt,Animation Fantasy Action Horror,the spine of night,"Richard E. Grant Lucy Lawless Patton Oswalt Philip Gelatt, Morgan Galen King Animation Fantasy Action Horror"
ChloÃ© Zhao,Gemma Chan,Richard Madden,Kumail Nanjiani,Science Fiction Action Adventure,eternals,Gemma Chan Richard Madden Kumail Nanjiani ChloÃ© Zhao Science Fiction Action Adventure
Rawson Marshall Thurber,Dwayne Johnson,Ryan Reynolds,Gal Gadot,Action Comedy Crime,red notice,Dwayne Johnson Ryan Reynolds Gal Gadot Rawson Marshall Thurber Action Comedy Crime
David Hackl,Mel Gibson,Scott Eastwood,Tyrese Gibson,Action Thriller,dangerous,Mel Gibson Scott Eastwood Tyrese Gibson David Hackl Action Thriller
Johannes Roberts,Kaya Scodelario,Hannah John-Kamen,Robbie Amell,Horror Science Fiction Action,resident evil: welcome to raccoon city,Kaya Scodelario Hannah John-Kamen Robbie Amell Johannes Roberts Horror Science Fiction Action
Jared Cohn,Patrick Muldoon,Bruce Willis,Matthew Marsden,Action Thriller,deadlock,Patrick Muldoon Bruce Willis Matthew Marsden Jared Cohn Action Thriller
Jon Watts,Tom Holland,Benedict Cumberbatch,Zendaya,Action Adventure Science Fiction,spider-man: no way home,Tom Holland Benedict Cumberbatch Zendaya Jon Watts Action Adventure Science Fiction
James Cullen Bressack,Jesse Metcalfe,Bruce Willis,Chad Michael Murray,Action Thriller Crime,fortress,Jesse Metcalfe Bruce Willis Chad Michael Murray James Cullen Bressack Action Thriller Crime
Lana Wachowski,Keanu Reeves,Carrie-Anne Moss,Yahya Abdul-Mateen II,Science Fiction Action Adventure,the matrix resurrections,Keanu Reeves Carrie-Anne Moss Yahya Abdul-Mateen II Lana Wachowski Science Fiction Action Adventure
Matthew Vaughn,Ralph Fiennes,Gemma Arterton,Rhys Ifans,Action Comedy Adventure Thriller,the king's man,Ralph Fiennes Gemma Arterton Rhys Ifans Matthew Vaughn Action Comedy Adventure Thriller
Simon Kinberg,Jessica Chastain,PenÃ©lope Cruz,Bingbing Fan,Action Adventure Thriller,the 355,Jessica Chastain PenÃ©lope Cruz Bingbing Fan Simon Kinberg Action Adventure Thriller
Asif Akbar,Mickey Rourke,Michael Jai White,unknown,Action Crime Thriller,the commando,Mickey Rourke Michael Jai White unknown Asif Akbar Action Crime Thriller
Edward John Drake,Timothy V. Murphy,Bruce Willis,Rob Gough,Action Adventure Thriller,american siege,Timothy V. Murphy Bruce Willis Rob Gough Edward John Drake Action Adventure Thriller
Justin Lee,Bruce Dern,Billy Zane,Tony Todd,Horror Action,hellblazers,Bruce Dern Billy Zane Tony Todd Justin Lee Horror Action
Paul Solet,Adrien Brody,unknown,unknown,Crime Action Drama,clean,Adrien Brody unknown unknown Paul Solet Crime Action Drama
